"","default","month","age","amount","address","employer","children","payfreq","marstat","home"
"404",0,24,50,NA,16.3,3.4,1,1,2,1
"405",0,24,22,2000,10.9,NA,0,1,1,2
"406",0,24,23,1500,0.2,4.4,0,1,1,2
"407",1,8,35,1500,4.1,1.1,0,1,2,1
"408",0,20,37,1200,6.1,19.3,2,2,2,1
"409",0,24,27,2000,1.7,6.3,0,3,2,2
"410",0,19,43,2000,20.1,3.7,3,1,2,1
"411",1,11,21,2000,1,0.1,1,1,2,1
"412",0,24,55,3000,28.1,NA,0,1,2,1
"413",0,23,35,1500,17.4,0.6,0,1,1,2
"414",0,22,43,1500,18.4,1.2,2,1,2,2
"415",0,24,30,1200,1.7,0.1,0,3,2,1
"416",0,19,41,1500,0.5,16.9,0,3,3,1
"417",1,7,32,3000,0.6,2.6,0,1,1,2
"418",0,24,43,2500,4.5,5.3,0,3,1,2
"419",0,24,42,2500,17.6,27.9,2,3,2,1
"420",0,17,46,2000,6.1,10.1,2,3,2,1
"421",0,24,51,1000,16.2,10.4,0,1,2,1
"422",0,20,34,NA,11.9,6.8,3,4,2,1
"423",0,24,54,2000,24.3,39.3,0,1,2,1
"424",1,24,30,1500,1.2,1.2,0,3,1,2
"425",0,11,42,3000,4.5,2.1,0,3,2,1
"426",0,24,43,700,2.8,1.9,1,3,3,2
"427",0,24,55,1000,14.1,15.1,0,1,3,1
"428",0,24,32,NA,8.2,1.2,1,1,2,1
"429",0,21,50,3000,12.3,NA,2,3,2,1
"430",0,24,32,1200,3.6,5.6,2,3,2,1
"431",0,24,26,3000,0.7,9.6,0,3,1,1
"432",0,24,44,1950,3.1,6.4,3,3,1,1
"433",0,20,48,2000,13.3,12.3,2,3,4,1
"434",0,20,57,1200,25.5,19.5,0,1,2,2
"435",0,24,34,3000,1.1,2.9,1,3,2,1
"436",0,19,44,1600,12,11.1,0,1,2,1
"437",0,19,50,2000,9.3,9.6,0,3,2,1
"438",1,4,45,1200,14.8,NA,1,1,2,2
"439",0,23,20,2000,15,NA,0,1,1,2
"440",0,24,35,650,16.6,0.8,0,3,2,1
"441",0,24,54,1500,16.2,4.6,0,3,2,1
"442",0,23,44,1300,4.5,23.5,0,1,2,1
"443",0,24,50,1000,31.7,30.6,0,3,2,1
"444",0,23,31,1400,3.8,6.3,0,1,2,1
"445",0,24,25,3000,0,2.7,0,3,1,2
"446",0,24,42,2000,12.2,12.9,2,3,2,1
"447",0,21,32,2000,8.4,0.9,4,1,2,1
"448",0,20,48,3600,17.1,6.8,1,3,2,1
"449",0,24,59,3000,8.1,7.1,0,1,2,1
"450",0,17,58,3500,13.1,14.3,2,3,2,1
"451",0,24,18,2000,18.1,0.4,0,1,1,2
"452",0,22,19,1000,0.3,0.6,0,3,2,2
"453",0,19,29,NA,25.7,4.4,0,3,1,2
"454",0,22,36,2000,6.4,1.1,3,3,2,2
"455",0,24,27,2800,0.3,3.7,0,1,1,1
"456",0,24,40,2000,6.7,6.4,2,3,2,1
"457",0,24,30,NA,8.8,10.5,3,1,2,2
"458",0,24,38,1500,7.7,1.5,3,1,2,2
"459",0,23,25,2000,0,4.2,0,3,2,1
"460",0,24,37,2000,7.9,0.8,1,3,2,1
"461",0,24,31,3000,0.4,8.7,0,3,1,2
"462",0,24,55,1000,10.9,10.9,0,1,3,1
"463",0,23,29,1000,4.3,11,0,3,3,2
"464",0,23,24,1000,0.2,1.7,0,3,1,2
"465",0,16,45,1000,6.4,8.6,2,3,2,1
"466",0,24,45,11500,0.3,27.9,0,3,2,2
"467",0,24,28,2500,2.9,6.1,0,3,3,1
"468",0,13,58,5000,14.4,14.2,0,3,2,1
"469",0,24,41,1000,2.8,4.4,0,1,2,1
"470",0,23,38,1000,2.1,18.1,2,1,2,1
"471",1,3,29,NA,0.7,2.6,2,3,3,2
"472",0,16,18,2200,13.8,1.9,0,3,1,2
"473",0,22,35,2300,5.9,9.1,1,3,2,1
"474",0,24,28,1000,2,7.9,0,3,2,1
"475",0,24,38,800,8.6,16.5,0,3,3,1
"476",0,24,39,5500,13.9,20.1,2,3,2,1
"477",0,17,25,1500,0.1,9.6,0,3,1,2
"478",0,24,30,2000,1.2,0.4,2,3,2,2
"479",0,24,49,2000,0.1,9.8,1,3,3,1
"480",0,24,48,3000,4.6,4.1,0,3,3,2
"481",0,24,54,2000,22.6,30.6,1,1,2,1
"482",0,24,26,2000,20,2.8,0,1,1,2
"483",0,24,29,3000,3.2,NA,0,1,2,1
"484",0,24,41,1400,15.4,2.1,1,1,2,2
"485",0,24,28,1000,1.1,0.4,0,1,2,1
"486",0,24,50,4000,2.1,8.6,0,3,2,1
"487",0,24,31,2400,2.1,10.2,1,3,2,2
"488",0,24,23,2000,22.4,5.9,0,1,1,2
"489",0,23,28,1250,23,2.4,0,4,1,2
"490",0,22,32,3000,0.4,12.1,1,3,2,1
"491",0,23,30,NA,1.4,1.2,0,1,1,2
"492",0,23,29,2300,20.4,8.2,0,1,1,2
"493",0,24,26,2000,1.3,3.5,0,1,1,1
"494",0,24,38,3000,4,0.5,2,3,2,1
"495",0,24,39,1300,9.3,23,2,1,2,1
"496",1,12,24,2000,3.4,0.4,0,1,1,2
"497",0,24,21,500,0.5,0.4,1,1,1,2
"498",0,23,44,1500,14.4,5.2,2,3,2,1
"499",1,9,18,NA,8.9,1.1,0,1,1,2
"500",1,13,33,1000,3.4,4.5,0,1,1,2
"501",0,24,49,1200,7.4,NA,2,3,2,2
"502",0,24,29,3000,30.7,8.1,0,1,1,2
"503",0,23,41,3500,3.6,11.7,1,4,2,1
"504",0,24,37,2000,13.3,13,0,3,2,1
